path,title,asset_type,category,tags,description,source_type,source_title,source_url,license,artist,created_at
01_products/水闸闸门_公开示意.jpg,水闸闸门,product_or_project_photo,泵站水闸工程,"水闸,闸门,金属结构,启闭设施",用于模拟水闸、闸门、金属结构安装等标书章节插图。,public_download,Wikimedia Commons - Sluice gate,https://commons.wikimedia.org/wiki/Special:FilePath/Sluice_gate.jpg,,,2026-04-28T08:36:04.572796+00:00
01_products/灌溉渠道_公开示意.jpg,灌溉渠道,product_or_project_photo,灌区与渠道工程,"灌区,渠道,节水改造,渠道衬砌",用于模拟灌区续建配套、渠道工程、节水改造等章节插图。,public_download,Wikimedia Commons - Irrigation canal,https://commons.wikimedia.org/wiki/Special:FilePath/Irrigation_canal.jpg,,,2026-04-28T08:36:04.572796+00:00
01_products/泵站_公开示意.jpg,泵站,product_or_project_photo,泵站水闸工程,"泵站,机电设备,水利设施,运行管理",用于模拟泵站土建、机电设备安装、运行维护等章节插图。,public_download,Wikimedia Commons - Water Pumping Station,https://upload.wikimedia.org/wikipedia/commons/f/f6/Anglian_Water_Pumping_Station_-_geograph.org.uk_-_3172567.jpg,,,2026-04-28T08:36:04.572796+00:00
01_products/雨量计_公开示意.jpg,雨量计,product_photo,水利信息化产品,"雨水情监测,雨量计,监测终端,信息化",用于模拟雨水情监测、信息化平台、自动化监测设备章节插图。,public_download,Wikimedia Commons - Rain gauge,https://upload.wikimedia.org/wikipedia/commons/c/ca/250mm_Rain_Gauge.jpg,,,2026-04-28T08:36:04.572796+00:00
03_project_cases/大坝工程_公开示意.jpg,大坝工程,project_photo,水库除险加固,"水库,大坝,除险加固,水工建筑物",用于模拟水库大坝、除险加固、溢洪道及水工建筑物章节插图。,public_download,Wikimedia Commons - Dam,https://commons.wikimedia.org/wiki/Special:FilePath/Dam.jpg,,,2026-04-28T08:36:04.572796+00:00
02_qualification_images/营业执照_脱敏样张.png,营业执照脱敏样张,qualification_certificate,企业资信,"营业执照,基础证照,资格审查",脱敏合成样张，用于测试资信库图片上传、OCR 和自动插图，不代表真实证照。,synthetic_deidentified,,,,,2026-04-28T08:36:04.572796+00:00
02_qualification_images/水利施工资质证书_脱敏样张.png,水利施工资质证书脱敏样张,qualification_certificate,企业资信,"资质证书,水利水电工程施工总承包,资格审查",脱敏合成样张，用于测试资质证书 OCR 和投标资料自动插图。,synthetic_deidentified,,,,,2026-04-28T08:36:04.572796+00:00
02_qualification_images/安全生产许可证_脱敏样张.png,安全生产许可证脱敏样张,qualification_certificate,企业资信,"安全生产许可证,施工安全,资格审查",脱敏合成样张，用于测试安全生产许可证 OCR 和投标附件插图。,synthetic_deidentified,,,,,2026-04-28T08:36:04.572796+00:00
01_products/09_CH_Talarn_Catalonia_Turbina_Francis_en_exhibició.jpg,"CH Talarn (Catalonia), Turbina Francis en exhibició.jpg",product_photo,水轮机与水电设备,"水轮机,Francis turbine,转轮,水电站",公开产品/工程示意图片，可用于水轮机与水电设备方向的产品库检索和标书插图测试。,public_download,"Wikimedia Commons - CH Talarn (Catalonia), Turbina Francis en exhibició.jpg","https://commons.wikimedia.org/wiki/File:CH_Talarn_(Catalonia),_Turbina_Francis_en_exhibici%C3%B3.jpg",CC BY-SA 4.0,Contraix,2026-04-28T08:41:38.244515+00:00
01_products/10_Francis_Turbine_High_flow.jpg,Francis Turbine High flow.jpg,product_photo,水轮机与水电设备,"水轮机,Francis turbine,转轮,水电站",公开产品/工程示意图片，可用于水轮机与水电设备方向的产品库检索和标书插图测试。,public_download,Wikimedia Commons - Francis Turbine High flow.jpg,https://commons.wikimedia.org/wiki/File:Francis_Turbine_High_flow.jpg,CC BY-SA 3.0,The original uploader was Stahlkocher at German Wikipedia.,2026-04-28T08:41:38.244515+00:00
01_products/11_Francis_Turbine_inlet_scroll_Grand_Coulee_Dam.jpg,Francis Turbine inlet scroll Grand Coulee Dam.jpg,product_photo,水轮机与水电设备,"水轮机,Francis turbine,转轮,水电站",公开产品/工程示意图片，可用于水轮机与水电设备方向的产品库检索和标书插图测试。,public_download,Wikimedia Commons - Francis Turbine inlet scroll Grand Coulee Dam.jpg,https://commons.wikimedia.org/wiki/File:Francis_Turbine_inlet_scroll_Grand_Coulee_Dam.jpg,Public domain,U.S. Bureau of Reclamation,2026-04-28T08:41:38.244515+00:00
01_products/12_Francis_turbine_IMG_4993.jpg,Francis turbine-IMG 4993.jpg,product_photo,水轮机与水电设备,"水轮机,Francis turbine,转轮,水电站",公开产品/工程示意图片，可用于水轮机与水电设备方向的产品库检索和标书插图测试。,public_download,Wikimedia Commons - Francis turbine-IMG 4993.jpg,https://commons.wikimedia.org/wiki/File:Francis_turbine-IMG_4993.jpg,CC BY-SA 2.0 fr,Rama,2026-04-28T08:41:38.244515+00:00
01_products/13_20220327_Kaplan_Turbine_Gräfelfing_02.jpg,20220327 Kaplan-Turbine Gräfelfing 02.jpg,product_photo,水轮机与水电设备,"水轮机,Kaplan turbine,叶片,水电站",公开产品/工程示意图片，可用于水轮机与水电设备方向的产品库检索和标书插图测试。,public_download,Wikimedia Commons - 20220327 Kaplan-Turbine Gräfelfing 02.jpg,https://commons.wikimedia.org/wiki/File:20220327_Kaplan-Turbine_Gr%C3%A4felfing_02.jpg,CC BY 4.0,Flocci Nivis,2026-04-28T08:41:38.244515+00:00
01_products/14_Kaplan_turbine_bonneville.jpg,Kaplan turbine bonneville.jpg,product_photo,水轮机与水电设备,"水轮机,Kaplan turbine,叶片,水电站",公开产品/工程示意图片，可用于水轮机与水电设备方向的产品库检索和标书插图测试。,public_download,Wikimedia Commons - Kaplan turbine bonneville.jpg,https://commons.wikimedia.org/wiki/File:Kaplan_turbine_bonneville.jpg,Public domain,uploaded by Duk,2026-04-28T08:41:38.244515+00:00
01_products/15_Centrifugal_Pump.jpg,Centrifugal Pump.jpg,product_photo,泵站设备,"离心泵,泵站,水泵,机电设备",公开产品/工程示意图片，可用于泵站设备方向的产品库检索和标书插图测试。,public_download,Wikimedia Commons - Centrifugal Pump.jpg,https://commons.wikimedia.org/wiki/File:Centrifugal_Pump.jpg,CC BY-SA 4.0,Saud,2026-04-28T08:41:38.244515+00:00
