path,category,title,doc_type,source_type,tags
01_company_profiles/施工企业画像_脱敏样例.md,company_profile,某水利工程建设企业画像,脱敏企业画像,generated,"水利施工,企业能力,水库除险加固"
01_company_profiles/设计咨询企业画像_脱敏样例.md,company_profile,某水利设计咨询企业画像,脱敏企业画像,generated,"水利设计,咨询服务,勘察设计"
02_qualification_library/资信资料清单_施工企业.md,qualification,施工企业资信资料清单,资信清单,generated,"营业执照,资质证书,安全生产许可证,人员证书,业绩"
02_qualification_library/资信资料清单_设计监理检测企业.md,qualification,设计监理检测企业资信资料清单,资信清单,generated,"设计资质,监理资质,检测资质,CMA"
02_qualification_library/人员配置模板_水利投标.md,qualification,水利项目人员配置模板,人员模板,generated,"项目经理,技术负责人,安全员,监理,设计"
03_product_library/产品服务目录_水利施工企业.md,product,水利施工企业产品与服务目录,产品服务目录,generated,"水库除险加固,灌区,泵站,水闸,河道治理"
03_product_library/水利信息化产品目录_脱敏样例.md,product,水利信息化产品目录,产品目录,generated,"雨水情监测,视频监控,自动化控制,平台服务"
03_product_library/检测与试验能力目录.md,product,检测与试验能力目录,能力目录,generated,"原材料检测,现场检测,试验资料"
04_capability_library/施工组织设计能力说明.md,capability,施工组织设计能力说明,能力说明,generated,"施工部署,防汛度汛,土石方,防渗,混凝土"
04_capability_library/质量安全环保水保能力说明.md,capability,质量安全环保水保能力说明,能力说明,generated,"质量管理,安全生产,环保,水保,文明施工"
04_capability_library/售后与缺陷责任期服务能力.md,capability,售后与缺陷责任期服务能力,能力说明,generated,"缺陷责任期,售后服务,质量回访"
05_upload_workflow/模拟用户上传流程.md,workflow,模拟用户上传流程,流程说明,generated,"资信库,产品库,知识库,用户流程"
