access_scope,applicable_sections,applicable_volumes,approved_candidate,bid_volume,candidate_id,caption_policy,category_label,classification_confidence,content_sha256,decision,dedup_confirmation,dedup_status,dedup_status_label,description,doc_owner,enterprise,evidence_bundle_id,evidence_type,evidence_type_label,fact_source_allowed_for_enterprise,formal_caption,formal_display_quality_verified,ingestion_action,ingestion_block_reason,ingestion_eligible,machine_recommendation,manual_review_required,material_category,media_sha256,origin_type,original_evidence_path,original_evidence_verified,product_boundary_verified,product_families,quality_tier,quality_tier_label,record_type,required_check,review_group_id,review_notes,review_status,review_status_label,reviewed_at,reviewed_target_library_label,reviewed_title,reviewer,sensitive_authorized,sensitivity,sensitivity_label,source_display_name,source_document_name,source_domain,source_file,source_page,source_section,tags,target_library,target_library_label,tenant_visibility,timeliness_verified,title,validity_status,visible_field_violations
taichang_tenant_internal,"[""补充文件/12.其他/12.1.发明专利证书""]","[""商务标""]",False,business,business-media-0332,suppressed_document_page_caption,企业证明材料,0.45,6251cfac24d45e78658b397a98f19386714dce683db252b72fbd4810d15113cc,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.1.发明专利证书”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,enterprise_evidence,企业证明材料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,6251cfac24d45e78658b397a98f19386714dce683db252b72fbd4810d15113cc,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G001,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌企业证明材料历史候选第319页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,319,(三)补充文件/12.其他/12.1.发明专利证书,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,不适用,泰昌企业证明材料历史候选第319页,needs_review,[]
taichang_tenant_internal,"[""补充文件/12.其他/12.3.河北省守合同重信用企业""]","[""商务标""]",False,business,business-media-0334,suppressed_document_page_caption,项目业绩,0.8,411e6303bf345711d09a217d21f6273b0f2d2910822c8f03d84cd9cf2a20155d,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.3.河北省守合同重信用企业”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,project_performance,项目业绩,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,411e6303bf345711d09a217d21f6273b0f2d2910822c8f03d84cd9cf2a20155d,uncertain,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G002,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌项目业绩历史候选第322页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,322,(三)补充文件/12.其他/12.3.河北省守合同重信用企业,"[""泰昌"", ""项目业绩"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,否,泰昌项目业绩历史候选第322页,needs_review,[]
taichang_tenant_internal,"[""补充文件/12.其他/12.4.中国裁判文书网查询截图""]","[""商务标""]",False,business,business-media-0335,suppressed_document_page_caption,企业证明材料,0.45,b84574ed438102c502c2e5f780c78db8cf71b3e37dcf19eada55eb9c947fb5a7,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.4.中国裁判文书网查询截图”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,enterprise_evidence,企业证明材料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,b84574ed438102c502c2e5f780c78db8cf71b3e37dcf19eada55eb9c947fb5a7,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G003,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌企业证明材料历史候选第323页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,323,(三)补充文件/12.其他/12.4.中国裁判文书网查询截图,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,不适用,泰昌企业证明材料历史候选第323页,needs_review,[]
taichang_tenant_internal,"[""补充文件/12.其他/12.4.中国裁判文书网查询截图""]","[""商务标""]",False,business,business-media-0336,suppressed_document_page_caption,企业证明材料,0.45,0d3729728a514f965ef671ad22f7928c028e3032155ec2ab0d2df1f7a54c875e,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.4.中国裁判文书网查询截图”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,enterprise_evidence,企业证明材料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,0d3729728a514f965ef671ad22f7928c028e3032155ec2ab0d2df1f7a54c875e,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G003,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌企业证明材料历史候选第323页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,323,(三)补充文件/12.其他/12.4.中国裁判文书网查询截图,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,不适用,泰昌企业证明材料历史候选第323页,needs_review,[]
taichang_tenant_internal,"[""补充文件/12.其他/12.5.中国执行信息公开网查询截图""]","[""商务标""]",False,business,business-media-0337,suppressed_document_page_caption,企业证明材料,0.45,41e352174d36eaae72e996245bc9f46eb415da89c453d4cd8ba346378d4abbd3,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.5.中国执行信息公开网查询截图”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,enterprise_evidence,企业证明材料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,41e352174d36eaae72e996245bc9f46eb415da89c453d4cd8ba346378d4abbd3,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G004,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌企业证明材料历史候选第324页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,324,(三)补充文件/12.其他/12.5.中国执行信息公开网查询截图,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,不适用,泰昌企业证明材料历史候选第324页,needs_review,[]
taichang_tenant_internal,"[""补充文件/12.其他/12.5.中国执行信息公开网查询截图""]","[""商务标""]",False,business,business-media-0338,suppressed_document_page_caption,企业证明材料,0.45,297f4a024b03bce2e6538af56b13dcfe6c18253dac16326635551a233c38cc53,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.5.中国执行信息公开网查询截图”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,enterprise_evidence,企业证明材料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,297f4a024b03bce2e6538af56b13dcfe6c18253dac16326635551a233c38cc53,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G004,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌企业证明材料历史候选第324页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,324,(三)补充文件/12.其他/12.5.中国执行信息公开网查询截图,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,不适用,泰昌企业证明材料历史候选第324页,needs_review,[]
taichang_tenant_internal,"[""补充文件/12.其他/12.6.一般纳税人查询截图""]","[""商务标""]",False,business,business-media-0339,suppressed_document_page_caption,财务资料,0.9,8eb61530c18d11fa15a2319e9da9a3497c13726c561732fe3b0c060147074d69,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.6.一般纳税人查询截图”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,finance,财务资料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,8eb61530c18d11fa15a2319e9da9a3497c13726c561732fe3b0c060147074d69,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G005,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌财务资料历史候选第325页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,325,(三)补充文件/12.其他/12.6.一般纳税人查询截图,"[""泰昌"", ""财务资料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,否,泰昌财务资料历史候选第325页,needs_review,[]
taichang_tenant_internal,"[""补充文件/12.其他/12.6.一般纳税人查询截图""]","[""商务标""]",False,business,business-media-0340,suppressed_document_page_caption,财务资料,0.9,e2b35314ada5ca6665049aa59f06e50e4bd7ac62a96768f7429137db091d3110,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/12.其他/12.6.一般纳税人查询截图”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,finance,财务资料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,e2b35314ada5ca6665049aa59f06e50e4bd7ac62a96768f7429137db091d3110,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G005,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌财务资料历史候选第325页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,325,(三)补充文件/12.其他/12.6.一般纳税人查询截图,"[""泰昌"", ""财务资料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,否,泰昌财务资料历史候选第325页,needs_review,[]
taichang_tenant_internal,"[""补充文件/2.投标人情况/附：国家企业信用信息公示系统（http://www.gsxt.gov.cn）查询的股东（企业或自然人）名称及详细出资情况截图""]","[""商务标""]",False,business,business-media-0003,suppressed_document_page_caption,企业证明材料,0.45,e392b4ea069af61a956088c2803512a2292873c1bb8a5b1b3d2d18a238a803f5,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/2.投标人情况/附：国家企业信用信息公示系统（http://www.gsxt.gov.cn）查询的股东（企业或自然人）名称及详细出资情况截图”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,enterprise_evidence,企业证明材料,False,,否,blocked,尚未通过P0-06人工批准,False,延后授权,True,泰昌企业资料,e392b4ea069af61a956088c2803512a2292873c1bb8a5b1b3d2d18a238a803f5,reference_layout_only,,否,不适用,[],restricted,受限资料,media,身份、银行、财务、社保、股权或授权资料必须确认权限和使用范围,P006-G006,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌企业证明材料历史候选第9页,,否,sensitive,敏感资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,9,(三)补充文件/2.投标人情况/附：国家企业信用信息公示系统（http://www.gsxt.gov.cn）查询的股东（企业或自然人）名称及详细出资情况截图,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,不适用,泰昌企业证明材料历史候选第9页,needs_review,[]
taichang_tenant_internal,"[""补充文件/2.投标人情况/附：股权证明材料""]","[""商务标""]",False,business,business-media-0004,suppressed_document_page_caption,企业证明材料,0.45,27b367b237548fc2949b487117355d11679012cda1505ea66f6124d9fe9db4c6,,,new,未发现重复，仍需审核,来源于泰昌商务补充文件，历史位置为“补充文件/2.投标人情况/附：股权证明材料”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,,enterprise_evidence,企业证明材料,False,,否,blocked,尚未通过P0-06人工批准,False,核验原始证据,True,泰昌企业资料,27b367b237548fc2949b487117355d11679012cda1505ea66f6124d9fe9db4c6,reference_layout_only,,否,不适用,[],review_only,仅限人工复核,media,确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确,P006-G007,,needs_customer_confirmation,需要客户确认,,资信库资料,泰昌企业证明材料历史候选第11页,,不适用,internal,企业内部资料,泰昌商务补充文件,泰昌商务补充文件,mixed_historical_bid,assets/template_words/商务补充文件.docx,11,(三)补充文件/2.投标人情况/附：股权证明材料,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""商务标""]",qualification_library,资信库资料,taichang_only,不适用,泰昌企业证明材料历史候选第11页,needs_review,[]
